"corr","gene","n","type","model","sample"
0.794218371734951,"ABCC11","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.623129993652039,"MYBPC1","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.777672055159374,"FOXA1","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.0839449169350095,"OPRPN","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.807658839663666,"SERHL2","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.747675426670839,"FASN","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.575017402884655,"MUC6","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.767490439637515,"CDH1","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.491627851717201,"MYH11","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.734470773643864,"TACSTD2","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.665125849989452,"TFAP2A","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.738367711644369,"MLPH","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.773230777646976,"EPCAM","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.688855315207251,"LYPD3","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.754568157084517,"KRT7","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.704552252843703,"SCD","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.368827031923389,"PIGR","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.49705595622825,"KRT14","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.60980010707047,"ANKRD30A","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.461116432473278,"PTN","top_20","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.794218371734951,"ABCC11","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.623129993652039,"MYBPC1","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.777672055159374,"FOXA1","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.0839449169350095,"OPRPN","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.807658839663666,"SERHL2","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.747675426670839,"FASN","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.575017402884655,"MUC6","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.767490439637515,"CDH1","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.491627851717201,"MYH11","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.734470773643864,"TACSTD2","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.665125849989452,"TFAP2A","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.738367711644369,"MLPH","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.773230777646976,"EPCAM","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.688855315207251,"LYPD3","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.754568157084517,"KRT7","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.704552252843703,"SCD","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.368827031923389,"PIGR","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.49705595622825,"KRT14","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.60980010707047,"ANKRD30A","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.461116432473278,"PTN","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.36024891975093,"S100A8","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.673282152168792,"DSP","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.5071791002757,"POSTN","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.515008955528751,"KRT5","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.655179419545913,"AR","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.335482473069161,"CEACAM6","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.475028358213599,"SERPINA3","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.435492019664639,"ESR1","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.469810620690276,"SFRP1","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.681532404434095,"JUP","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.73587483863433,"CD9","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.113467236246428,"MMP1","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.804146341271471,"ERBB2","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.42692821381857,"AKR1C1","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.53235798370892,"ALDH1A3","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.636044118923588,"TRAF4","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.407597689836515,"TOP2A","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.572107272683772,"AQP3","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.608549304562074,"DSC2","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.594080614907638,"SLC5A6","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.55771395037495,"SQLE","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.304642314204989,"KRT23","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.755667322111576,"TPD52","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.481839269085172,"SDC4","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.251824062636126,"SFRP4","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.589376847195284,"RUNX1","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.632133746637782,"MDM2","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.657077189866092,"ENAH","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.720969670047537,"KRT8","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.372471373401662,"LYZ","top_50","svg","+ref, +cell type, +neighbourhood (final model)","breast_sample2"
0.80201676360866,"ABCC11","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.629405886785362,"MYBPC1","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.779909734278618,"FOXA1","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.159645123134462,"OPRPN","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.818481583356966,"SERHL2","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.753010667110634,"FASN","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.570269457843642,"MUC6","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.771797880585621,"CDH1","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.493668137408467,"MYH11","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.739310386900936,"TACSTD2","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.664420050134875,"TFAP2A","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.743750456051576,"MLPH","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.779890129269877,"EPCAM","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.693866020407204,"LYPD3","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.759220675726527,"KRT7","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.71180870822425,"SCD","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.385697931792196,"PIGR","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.485221740447609,"KRT14","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.615698434572877,"ANKRD30A","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.461341688034131,"PTN","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.80201676360866,"ABCC11","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.629405886785362,"MYBPC1","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.779909734278618,"FOXA1","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.159645123134462,"OPRPN","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.818481583356966,"SERHL2","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.753010667110634,"FASN","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.570269457843642,"MUC6","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.771797880585621,"CDH1","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.493668137408467,"MYH11","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.739310386900936,"TACSTD2","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.664420050134875,"TFAP2A","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.743750456051576,"MLPH","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.779890129269877,"EPCAM","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.693866020407204,"LYPD3","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.759220675726527,"KRT7","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.71180870822425,"SCD","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.385697931792196,"PIGR","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.485221740447609,"KRT14","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.615698434572877,"ANKRD30A","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.461341688034131,"PTN","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.357847345766144,"S100A8","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.671972466013238,"DSP","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.496916376244236,"POSTN","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.505267141161458,"KRT5","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.656183644226382,"AR","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.390740690108139,"CEACAM6","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.475379392662435,"SERPINA3","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.448265974793043,"ESR1","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.473090780519011,"SFRP1","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.678251265546591,"JUP","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.739773472209119,"CD9","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.083350117969418,"MMP1","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.808345097272583,"ERBB2","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.438864861448848,"AKR1C1","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.535832015292146,"ALDH1A3","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.658623499344292,"TRAF4","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.421475607009727,"TOP2A","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.575895968258118,"AQP3","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.616746586969284,"DSC2","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.601857476138611,"SLC5A6","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.560824790965277,"SQLE","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.295564280355494,"KRT23","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.757689573238427,"TPD52","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.477937910864321,"SDC4","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.251905905762192,"SFRP4","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.598172030932602,"RUNX1","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.637046903452005,"MDM2","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.664348620591995,"ENAH","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.722407606584598,"KRT8","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.360282675247818,"LYZ","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample2"
0.794037034991534,"ABCC11","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.619508248535229,"MYBPC1","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.774968909133436,"FOXA1","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.115758835660256,"OPRPN","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.805242966828035,"SERHL2","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.745312921668863,"FASN","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.570652781328732,"MUC6","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.766891173128149,"CDH1","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.485016054585303,"MYH11","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.737002687198522,"TACSTD2","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.660740735253592,"TFAP2A","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.73467286473115,"MLPH","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.772973218103955,"EPCAM","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.680708573692172,"LYPD3","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.75236906595525,"KRT7","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.696137050611723,"SCD","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.37130328291367,"PIGR","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.484729590367893,"KRT14","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.587397466345081,"ANKRD30A","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.458604680219551,"PTN","top_20","svg","+ref (w/o morphology)","breast_sample2"
0.794037034991534,"ABCC11","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.619508248535229,"MYBPC1","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.774968909133436,"FOXA1","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.115758835660256,"OPRPN","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.805242966828035,"SERHL2","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.745312921668863,"FASN","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.570652781328732,"MUC6","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.766891173128149,"CDH1","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.485016054585303,"MYH11","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.737002687198522,"TACSTD2","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.660740735253592,"TFAP2A","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.73467286473115,"MLPH","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.772973218103955,"EPCAM","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.680708573692172,"LYPD3","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.75236906595525,"KRT7","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.696137050611723,"SCD","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.37130328291367,"PIGR","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.484729590367893,"KRT14","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.587397466345081,"ANKRD30A","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.458604680219551,"PTN","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.348754661270426,"S100A8","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.670404662222055,"DSP","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.489812645753749,"POSTN","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.507745322437695,"KRT5","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.651236285337779,"AR","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.384115614003091,"CEACAM6","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.484587832196988,"SERPINA3","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.414363575527579,"ESR1","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.466617763526631,"SFRP1","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.675624979586797,"JUP","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.732077705461205,"CD9","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.107236426921727,"MMP1","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.800409572456625,"ERBB2","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.433290325190447,"AKR1C1","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.527627659460368,"ALDH1A3","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.62677957812541,"TRAF4","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.405161198704212,"TOP2A","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.568452916024001,"AQP3","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.611926916756682,"DSC2","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.592387320046716,"SLC5A6","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.556490070115868,"SQLE","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.291177572924294,"KRT23","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.753582974269089,"TPD52","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.47652350960756,"SDC4","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.242774837379831,"SFRP4","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.589305164619301,"RUNX1","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.633605593517476,"MDM2","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.657276444557423,"ENAH","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.715230431889174,"KRT8","top_50","svg","+ref (w/o morphology)","breast_sample2"
0.358817037247673,"LYZ","top_50","svg","+ref (w/o morphology)","breast_sample2"
